Time ,Open,High,Low,Close,Change,Volume
2018-06-19,143.12,144.22,142.95,143.90,-0.58,3487000
2018-06-18,144.18,144.52,143.14,144.48,-0.91,4286400
2018-06-15,144.90,145.47,143.70,145.39,0.19,9116000
2018-06-14,146.65,146.98,145.09,145.20,-1.15,3326300
2018-06-13,146.79,147.47,146.20,146.35,-0.52,2968100
2018-06-12,147.10,147.52,146.62,146.87,0.29,2640500
2018-06-11,146.62,147.41,146.14,146.58,0.44,3259900
2018-06-08,145.00,146.43,144.37,146.14,0.78,5210400
2018-06-07,145.00,146.70,144.93,145.36,0.65,4316400
2018-06-06,144.34,144.72,143.54,144.71,1.01,3220100
2018-06-05,143.05,144.08,143.04,143.70,0.66,2836000
2018-06-04,142.30,143.17,142.18,143.04,1.09,3035200
2018-06-01,142.43,142.84,141.62,141.95,0.64,3857500
2018-05-31,142.81,142.81,141.05,141.31,-1.31,6830200
2018-05-30,141.90,143.10,141.82,142.62,1.40,5118500
2018-05-29,142.53,142.89,140.21,141.22,-2.42,4537600
2018-05-25,143.90,144.57,143.46,143.64,-0.43,4914200
2018-05-24,144.39,144.48,142.95,144.07,-0.60,3398700
2018-05-23,144.35,144.70,143.48,144.67,-0.42,3459700
2018-05-22,145.52,146.20,145.00,145.09,-0.40,2284000
2018-05-21,144.95,146.04,144.68,145.49,1.41,2894600
2018-05-18,144.47,144.94,143.99,144.08,-0.42,2682200
2018-05-17,144.50,145.19,143.77,144.50,-0.13,3147600
2018-05-16,143.70,145.03,143.27,144.63,0.89,3168600
2018-05-15,143.50,143.99,142.92,143.74,-0.56,4089300
2018-05-14,144.47,145.12,144.14,144.30,0.16,3216000
2018-05-11,144.11,144.85,143.58,144.14,-0.10,3073100
2018-05-10,143.15,144.33,143.01,144.24,1.63,3726600
2018-05-09,141.90,143.02,141.28,142.61,-0.39,4195900
2018-05-08,143.00,143.51,142.06,143.00,-0.22,5369100
2018-05-07,144.00,144.32,142.64,143.22,-0.69,3657000
2018-05-04,141.10,144.35,140.28,143.91,1.92,4402100
2018-05-03,142.13,142.23,139.90,141.99,-0.46,5018500
2018-05-02,144.46,144.82,142.07,142.45,-2.55,5194900
2018-05-01,144.65,145.02,143.47,145.00,0.04,4433300
2018-04-30,146.86,147.38,144.96,144.96,-1.52,4415500
2018-04-27,146.84,147.25,145.66,146.48,-0.24,3205400
